'y-axis saved as y
'x,TrBiI4_pure_ground_exported.raw_1,Diff,Ycalc
5.0627366,1037,31.2903377,1005.70966
5.08317191,1061,62.4064204,998.59358
5.10360723,966,-25.6405952,991.640595
5.12404255,992,7.15359653,984.846403
5.14447786,937,-41.2067899,978.20679
5.16491318,951,-20.7176298,971.71763
5.1853485,985,19.6251138,965.374886
5.20578381,898,-61.174609,959.174609
5.22621913,1011,57.8870675,953.112932
5.24665445,983,35.8139253,947.186075
5.26708976,955,13.6096647,941.390335
5.28752508,930,-5.72209429,935.722094
5.3079604,992,61.8221893,930.177811
5.32839571,921,-3.75402093,924.754021
5.34883103,969,49.5526626,919.447337
5.36926635,901,-13.2544474,914.254447
5.38970166,927,17.8278888,909.172111
5.41013698,927,22.8028386,904.197161
5.4305723,882,-17.3265011,899.326501
5.45100761,940,45.4428973,894.557103
5.47144293,933,43.1139932,889.886007
5.49187825,921,35.689679,885.310321
5.51231356,846,-34.8272183,880.827218
5.53274888,903,26.5660639,876.433936
5.55318419,921,48.8722246,872.127775
5.57361951,954,86.0939012,867.906099
5.59405483,820,-43.7663302,863.76633
5.61449014,895,35.2940469,859.705953
5.63492546,913,57.2774902,855.72251
5.65536078,860,8.18639992,851.8136
5.67579609,864,16.0231196,847.97688
5.69623141,822,-22.2100626,844.210063
5.71666673,920,79.489087,840.510913
5.73710204,887,50.1227487,836.877251
5.75753736,834,0.693050308,833.30695
5.77797268,854,24.2020683,829.797932
5.79840799,812,-14.3481715,826.348171
5.81884331,834,11.0443075,822.955693
5.83927863,881,61.381433,819.618567
5.85971394,840,23.6650854,816.334915
5.88014926,745,-68.102902,813.102902
5.90058458,782,-27.9207415,809.920742
5.92101989,804,-2.78669058,806.786691
5.94145521,838,34.3009494,803.699051
5.96189052,844,43.3438336,800.656166
5.98232584,808,10.3435749,797.656425
6.00276116,799,4.30174441,794.698256
6.02319647,748,-43.7801274,791.780127
6.04363179,763,-25.9005502,788.90055
6.06406711,734,-52.0580728,786.058073
6.08450242,783,-0.251282574,783.251283
6.10493774,788,7.5211955,780.478804
6.12537306,735,-42.7393006,777.739301
6.14580837,777,1.96853093,775.031469
6.16624369,779,6.6459563,772.354044
6.18667901,721,-48.7057931,769.705793
6.20711432,737,-30.0855198,767.08552
6.22754964,725,-39.4920601,764.49206
6.24798496,742,-19.9242827,761.924283
6.26842027,723,-36.3810888,759.381089
6.28885559,799,42.1385893,756.861411
6.30929091,725,-29.3642116,754.364212
6.32972622,699,-52.8884851,751.888485
6.35016154,751,1.56674586,749.433254
6.37059685,734,-12.9975707,746.997571
6.39103217,733,-11.5805151,744.580515
6.41146749,756,13.8188045,742.181195
6.4319028,748,8.2012529,739.798747
6.45233812,757,19.567668,737.432332
6.47277344,744,8.91886191,735.081138
6.49320875,673,-59.744379,732.744379
6.51364407,703,-27.4212932,730.421293
6.53407939,739,10.8888563,728.111144
6.5545147,704,-21.8132174,725.813217
6.57495002,695,-28.5268247,723.526825
6.59538534,693,-28.2512987,721.251299
6.61582065,735,16.0140049,718.985995
6.63625597,715,-1.73029156,716.730292
6.65669129,665,-49.4835871,714.483587
6.6771266,682,-30.2453017,712.245302
6.69756192,675,-35.0148759,710.014876
6.71799724,706,-1.79177026,707.79177
6.73843255,690,-15.5754651,705.575465
6.75886787,696,-7.36545972,703.36546
6.77930319,663,-38.1612723,701.161272
6.7997385,631,-67.9624392,698.962439
6.82017382,627,-69.7685149,696.768515
6.84060913,705,10.4209289,694.579071
6.86104445,667,-25.3936967,692.393697
6.88147977,659,-31.2119974,690.211997
6.90191508,646,-42.0335951,688.033595
6.9223504,738,52.1418724,685.858128
6.94278572,691,7.31475178,683.685248
6.96322103,673,-8.51462554,681.514626
6.98365635,663,-16.3459429,679.345943
7.00409167,618,-59.178898,677.178898
7.02452698,656,-19.0132029,675.013203
7.0449623,673,0.151416806,672.848583
7.06539762,643,-27.6847779,670.684778
7.08583293,669,0.478460787,668.521539
7.10626825,638,-28.3586321,666.358632
7.12670357,606,-58.1958338,664.195834
7.14713888,647,-15.0329339,662.032934
7.1675742,658,-1.86973372,659.869734
7.18800952,692,34.293954,657.706046
7.20844483,631,-24.5416949,655.541695
7.22888015,586,-67.3765153,653.376515
7.24931546,687,35.7896472,651.210353
7.26975078,622,-27.0430634,649.043063
7.2901861,606,-40.874513,646.874513
7.31062141,638,-6.70457763,644.704578
7.33105673,617,-25.5331425,642.533143
7.35149205,614,-26.3601024,640.360102
7.37192736,643,4.81463906,638.185361
7.39236268,655,18.9911695,636.008831
7.412798,673,39.1695678,633.830432
7.43323331,648,16.3499048,631.650095
7.45366863,599,-30.4677567,629.467757
7.47410395,608,-19.2833619,627.283362
7.49453926,649,23.9031365,625.096864
7.51497458,616,-6.90822144,622.908221
7.5354099,613,-7.71740289,620.717403
7.55584521,623,4.47561808,618.524382
7.57628053,650,33.6708607,616.329139
7.59671585,591,-23.1316623,614.131662
7.61715116,639,27.0680555,611.931945
7.63758648,620,10.2700145,609.729986
7.65802179,574,-33.5257909,607.525791
7.67845711,576,-29.3193719,605.319372
7.69889243,640,36.8892547,603.110745
7.71932774,605,4.10006691,600.899933
7.73976306,604,5.31303741,598.686963
